CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,StatutatoryCitationPostStop,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime,filenumber,StatutatoryCitation,Road Type,ReasonForStop,Year,Reason for Stop
2025-02-26 16:13:43.893000,7240538.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001571,Incident ID,2025-01-02 00:00:00,January,W,N,M,56,False,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 17 22.8480000000,73 6 28.8000000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 09:12:28.690000,09:12:28.690000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.893000,7240539.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001591,Incident ID,2025-01-02 00:00:00,January,W,N,F,30,True,False,SHELTON,Route 8 South Exit 9,41 16 28.7976000000,73 7 2.1360000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,V,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 09:23:03.150000,09:23:03.150000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.900000,7240541.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001749,Incident ID,2025-01-02 00:00:00,January,W,N,M,35,True,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 16 43.4352000000,73 6 49.8600000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 10:57:27.120000,10:57:27.120000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.907000,7240544.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001840,Incident ID,2025-01-02 00:00:00,January,W,N,F,26,True,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 17 7.9620000000,73 6 35.9640000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 11:53:20.773000,11:53:20.773000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.910000,7240545.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001876,Incident ID,2025-01-02 00:00:00,January,W,N,F,32,True,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 17 21.4224000000,73 6 27.2520000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 12:12:17.137000,12:12:17.137000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.913000,7240547.0,CTCSP1000,CSP Troop I,Racial Profile,1000004775,2500001925,Incident ID,2025-01-02 00:00:00,January,B,N,M,56,True,False,SHELTON,Route 8 South Exit 9,41 16 23.6604000000,73 7 7.6800000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,V,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 12:45:12.600000,12:45:12.600000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.960000,7240563.0,CTCSP1000,CSP Troop I,Racial Profile,1000004860,2500001696,Incident ID,2025-01-02 00:00:00,January,B,N,F,52,True,False,DERBY,"00000 RAMP 17 RT 8 S  (DERBY, T037)",41 19 46.2612000000,73 5 19.4280000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 10:25:56.073000,10:25:56.073000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.960000,7240564.0,CTCSP1000,CSP Troop I,Racial Profile,1000004860,2500001722,Incident ID,2025-01-02 00:00:00,January,B,N,M,47,True,False,SHELTON,"00011 RT 8  (SHELTON, T126)",41 16 51.9060000000,73 6 45.6480000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 10:42:08.900000,10:42:08.900000,2025,,,,2025,STC Violation
2025-02-26 16:13:43.963000,7240565.0,CTCSP1000,CSP Troop I,Racial Profile,1000004860,2500001765,Incident ID,2025-01-02 00:00:00,January,W,H,M,47,True,False,SHELTON,"00000 RT 8  (SHELTON, T126)",41 15 46.7064000000,73 7 54.2280000000,V,G,1.0,0,14-219(c)(1),,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 11:07:12.170000,11:07:12.170000,2025,,,,2025,Speed Related
2025-02-26 16:13:43.973000,7240569.0,CTCSP1000,CSP Troop I,Racial Profile,1000004860,2500001924,Incident ID,2025-01-02 00:00:00,January,W,N,M,30,True,False,SHELTON,"00007 RT 8  (SHELTON, T126)",41 15 46.7064000000,73 7 54.2280000000,V,G,1.0,0,14-298,,False,N,False,False,I,,,,,False,1.0,CTCSP0000,133850779619033794,2025-01-02 12:44:46.400000,12:44:46.400000,2025,,,,2025,STC Violation
